,Real,Predicted,Set
65951,1,1,Train
56136,1,1,Train
44351,1,1,Train
62937,1,1,Train
5562,0,1,Train
37274,0,1,Train
36216,0,1,Train
12418,0,1,Train
72168,1,1,Train
27179,0,1,Train
34549,0,1,Train
39977,0,1,Train
58977,1,1,Train
29939,0,1,Train
14149,0,1,Train
13129,0,1,Train
40027,0,1,Train
614,0,1,Train
50443,1,1,Train
4875,0,1,Train
49750,1,1,Train
3510,0,1,Train
71992,1,1,Train
95,0,1,Train
11540,0,1,Train
18448,0,1,Train
53689,1,1,Train
15183,0,1,Train
15495,0,1,Train
36106,0,1,Train
51181,1,1,Train
79692,1,1,Train
76905,1,1,Train
59847,1,1,Train
77205,1,1,Train
50554,1,1,Train
65500,1,1,Train
19953,0,1,Train
6169,0,1,Train
24589,0,1,Train
2830,0,1,Train
68177,1,1,Train
27697,0,1,Train
71799,1,1,Train
53107,1,1,Train
12757,0,1,Train
32838,0,1,Train
2511,0,1,Train
10343,0,1,Train
20531,0,1,Train
21269,0,1,Train
14391,0,1,Train
34739,0,1,Train
59132,1,1,Train
68087,1,1,Train
23144,0,1,Train
51590,1,1,Train
78501,1,1,Train
61878,1,1,Train
63637,1,1,Train
32114,0,1,Train
30726,0,1,Train
49771,1,1,Train
43956,1,1,Train
16467,0,1,Train
56670,1,1,Train
18233,0,1,Train
25096,0,1,Train
15469,0,1,Train
24471,0,1,Train
55331,1,1,Train
72359,1,1,Train
46196,1,1,Train
56370,1,1,Train
14014,0,1,Train
64120,1,1,Train
30852,0,1,Train
280,0,1,Train
32404,0,1,Train
28218,0,1,Train
34452,0,1,Train
34277,0,1,Train
49399,1,1,Train
13279,0,1,Train
25884,0,1,Train
17483,0,1,Train
70964,1,1,Train
15664,0,1,Train
26647,0,1,Train
58997,1,1,Train
44381,1,1,Train
44591,1,1,Train
54339,1,1,Train
59419,1,1,Train
41351,1,1,Train
74022,1,1,Train
66841,1,1,Train
32462,0,1,Train
49672,1,1,Train
25108,0,1,Train
5658,0,1,Train
79902,1,1,Train
51487,1,1,Train
15420,0,1,Train
1592,0,1,Train
40146,0,1,Train
43514,1,1,Train
12432,0,1,Train
12577,0,1,Train
64974,1,1,Train
68881,1,1,Train
14944,0,1,Train
64102,1,1,Train
67059,1,1,Train
64858,1,1,Train
66976,1,1,Train
59707,1,1,Train
79479,1,1,Train
6843,0,1,Train
23166,0,1,Train
29935,0,1,Train
55498,1,1,Train
41529,1,1,Train
38793,0,1,Train
64423,1,1,Train
67784,1,1,Train
42693,1,1,Train
15694,0,1,Train
41818,1,1,Train
966,0,1,Train
51404,1,1,Train
64661,1,1,Train
60778,1,1,Train
29366,0,1,Train
2168,0,1,Train
36377,0,1,Train
11832,0,1,Train
47704,1,1,Train
42200,1,1,Train
62885,1,1,Train
69074,1,1,Train
77992,1,1,Train
30986,0,1,Train
18718,0,1,Train
5211,0,1,Train
18412,0,1,Train
13540,0,1,Train
75792,1,1,Train
51420,1,1,Train
55118,1,1,Train
78179,1,1,Train
13641,0,1,Train
56140,1,1,Train
25170,0,1,Train
33934,0,1,Train
39467,1,1,Train
22377,0,1,Train
5625,0,1,Train
72019,1,1,Train
45314,1,1,Train
79891,1,1,Train
64904,1,1,Train
31507,0,1,Train
29201,0,1,Train
16034,0,1,Train
75287,1,1,Train
5896,0,1,Train
2827,0,1,Train
13400,0,1,Train
36753,0,1,Train
34944,0,1,Train
29826,0,1,Train
3422,0,1,Train
62486,1,1,Train
72018,1,1,Train
71355,1,1,Train
49776,1,1,Train
79997,1,1,Train
42780,1,1,Train
3859,0,1,Train
70503,1,1,Train
68797,1,1,Train
1598,0,1,Train
71830,1,1,Train
35220,0,1,Train
14832,0,1,Train
80044,1,1,Train
1386,0,1,Train
30233,0,1,Train
18945,0,1,Train
19181,0,1,Train
57683,1,1,Train
70197,1,1,Train
77590,1,1,Train
27845,0,1,Train
21260,0,1,Train
73494,1,1,Train
38527,0,1,Train
76482,1,1,Train
53837,1,1,Train
41599,1,1,Train
58124,1,1,Train
75475,1,1,Train
17147,0,1,Train
74959,1,1,Train
39372,0,1,Train
19737,0,1,Train
9172,0,1,Train
60801,1,1,Train
51014,1,1,Train
73133,1,1,Train
65443,1,1,Train
34495,0,1,Train
77597,1,1,Train
54344,1,1,Train
53419,1,1,Train
15249,0,1,Train
74854,1,1,Train
21659,0,1,Train
40176,0,1,Train
30026,0,1,Train
37609,0,1,Train
59296,1,1,Train
69387,1,1,Train
78728,1,1,Train
61827,1,1,Train
14604,0,1,Train
72338,1,1,Train
33265,0,1,Train
14663,0,1,Train
65902,1,1,Train
38136,0,1,Train
50121,1,1,Train
7331,0,1,Train
74769,1,1,Train
61481,1,1,Train
20979,0,1,Train
38792,0,1,Train
48421,1,1,Train
16703,0,1,Train
60682,1,1,Train
57299,1,1,Train
59715,1,1,Train
79592,1,1,Train
19030,0,1,Train
80155,1,1,Train
53182,1,1,Train
62016,1,1,Train
8618,0,1,Train
26330,0,1,Train
43754,1,1,Train
63260,1,1,Train
56934,1,1,Train
60485,1,1,Train
5476,0,1,Train
74455,1,1,Train
21986,0,1,Train
67989,1,1,Train
79991,1,1,Train
44455,1,1,Train
54151,1,1,Train
12395,0,1,Train
36401,0,1,Train
29600,0,1,Train
3645,1,1,Train
11925,0,1,Train
38710,0,1,Train
54597,1,1,Train
4179,0,1,Train
61127,1,1,Train
41925,1,1,Train
23676,0,1,Train
73486,1,1,Train
2995,0,1,Train
28759,1,1,Train
13342,0,1,Train
36231,0,1,Train
32123,0,1,Train
28148,0,1,Train
71701,1,1,Train
20052,0,1,Train
4253,0,1,Train
14861,0,1,Train
74409,1,1,Train
63389,1,1,Train
49266,1,1,Train
7147,0,1,Train
39343,0,1,Train
48204,1,1,Train
76054,1,1,Train
59601,1,1,Train
54784,1,1,Train
67640,1,1,Train
79761,1,1,Train
33950,0,1,Train
52314,1,1,Train
56823,1,1,Train
67765,1,1,Train
39393,0,1,Train
8458,0,1,Train
74466,1,1,Train
41531,1,1,Train
35140,0,1,Train
20298,0,1,Train
66671,1,1,Train
66312,1,1,Train
64599,1,1,Train
79134,1,1,Train
37258,0,1,Train
7984,0,1,Train
51159,1,1,Train
79282,1,1,Train
73011,1,1,Train
9912,0,1,Train
61320,1,1,Train
9113,0,1,Train
63519,1,1,Train
52438,1,1,Train
44285,1,1,Train
76956,1,1,Train
57162,1,1,Train
19306,0,1,Train
41306,1,1,Train
9105,0,1,Train
33274,0,1,Train
70026,1,1,Train
28553,0,1,Train
25942,0,1,Train
11393,0,1,Train
31618,0,1,Train
9189,0,1,Train
30801,0,1,Train
26193,0,1,Train
46890,1,1,Train
65413,1,1,Train
9232,0,1,Train
52767,1,1,Train
32777,0,1,Train
53180,1,1,Train
42971,1,1,Train
39973,0,1,Train
39243,0,1,Train
13905,0,1,Train
48878,1,1,Train
30045,0,1,Train
28808,0,1,Train
56992,1,1,Train
26005,0,1,Train
63999,1,1,Train
18045,0,1,Train
15598,0,1,Train
37328,0,1,Train
27016,0,1,Train
58200,1,1,Train
36785,0,1,Train
35239,0,1,Train
32157,0,1,Train
10810,0,1,Train
4879,0,1,Train
80048,1,1,Train
508,0,1,Train
24876,0,1,Train
32841,0,1,Train
28937,0,1,Train
12955,0,1,Train
12487,0,1,Train
48274,1,1,Train
63984,1,1,Train
66443,1,1,Train
43109,1,1,Train
71112,1,1,Train
19619,0,1,Train
2819,0,1,Train
4356,0,1,Train
42132,1,1,Train
67983,1,1,Train
75362,1,1,Train
8453,0,1,Train
54976,1,1,Train
14038,0,1,Train
3989,0,1,Train
10849,0,1,Train
19349,0,1,Train
1911,0,1,Train
27090,0,1,Train
12593,0,1,Train
32604,0,1,Train
39382,0,1,Train
55714,1,1,Train
60297,1,1,Train
65761,1,1,Train
8478,0,1,Train
8824,0,1,Train
16735,0,1,Train
69276,1,1,Train
23605,0,1,Train
10877,0,1,Train
63091,1,1,Train
31827,0,1,Train
21844,0,1,Train
27010,0,1,Train
65818,1,1,Train
47378,1,1,Train
51286,1,1,Train
23628,0,1,Train
73838,1,1,Train
1048,0,1,Train
9661,0,1,Train
64387,1,1,Train
70788,1,1,Train
3842,0,1,Train
77742,1,1,Train
6972,0,1,Train
34834,0,1,Train
45404,1,1,Train
62749,1,1,Train
74170,1,1,Train
56729,1,1,Train
16152,0,1,Train
45620,1,1,Train
75515,1,1,Train
22589,0,1,Train
52277,1,1,Train
39526,0,1,Train
9059,0,1,Train
10560,0,1,Train
3511,0,1,Train
1404,0,1,Train
70297,1,1,Train
21701,0,1,Train
71815,1,1,Train
55335,1,1,Train
2652,0,1,Train
59357,1,1,Train
4172,0,1,Train
62083,1,1,Train
38320,0,1,Train
8049,0,1,Train
4877,0,1,Train
77789,1,1,Train
73674,1,1,Train
66888,1,1,Train
59450,1,1,Train
68882,1,1,Train
69315,1,1,Train
33995,0,1,Train
80586,1,1,Train
45768,1,1,Train
58821,1,1,Train
2337,0,1,Train
15159,0,1,Train
79691,1,1,Train
45862,1,1,Train
78585,1,1,Train
2549,0,1,Train
74913,1,1,Train
58151,1,1,Train
26136,0,1,Train
66512,1,1,Train
45659,1,1,Train
47846,1,1,Train
47944,1,1,Train
29215,0,1,Train
829,0,1,Train
77544,1,1,Train
56094,1,1,Train
68269,1,1,Train
14798,0,1,Train
33916,0,1,Train
62116,1,1,Train
34827,0,1,Train
60825,1,1,Train
32300,0,1,Train
6627,0,1,Train
13992,0,1,Train
71174,1,1,Train
3252,0,1,Train
34339,0,1,Train
23175,0,1,Train
52302,1,1,Train
53110,1,1,Train
26774,0,1,Train
9594,0,1,Train
36379,0,1,Train
28324,0,1,Train
68460,1,1,Train
73172,1,1,Train
36515,0,1,Train
56599,1,1,Train
13659,0,1,Train
8881,0,1,Train
56663,1,1,Train
80549,1,1,Train
68992,1,1,Train
64496,1,1,Train
27298,0,1,Train
40071,0,1,Train
7754,0,1,Train
3822,0,1,Train
4883,0,1,Train
42364,1,1,Train
69091,1,1,Train
8006,0,1,Train
33821,0,1,Train
38204,0,1,Train
34300,0,1,Train
48252,1,1,Train
593,0,1,Train
18566,0,1,Train
68354,1,1,Train
60495,1,1,Train
52655,1,1,Train
5106,0,1,Train
8682,0,1,Train
34259,0,1,Train
51340,1,1,Train
65880,1,1,Train
4050,0,1,Train
59693,1,1,Train
44736,1,1,Train
71408,1,1,Train
341,0,1,Train
7682,0,1,Train
69424,1,1,Train
17998,0,1,Train
72894,1,1,Train
74393,1,1,Train
79181,1,1,Train
49804,1,1,Train
25341,0,1,Train
70767,1,1,Train
8603,0,1,Train
38700,0,1,Train
60730,1,1,Train
39153,0,1,Train
24390,0,1,Train
29916,0,1,Train
28858,0,1,Train
75921,1,1,Train
30927,0,1,Train
13216,0,1,Train
12294,0,1,Train
28784,0,1,Train
55553,1,1,Train
66114,1,1,Train
3202,0,1,Train
6204,0,1,Train
37735,0,1,Train
4644,0,1,Train
23660,0,1,Train
77447,1,1,Train
3220,0,1,Train
11088,0,1,Train
20060,0,1,Train
17559,0,1,Train
63706,1,1,Train
58488,1,1,Train
21064,0,1,Train
65804,1,1,Train
38012,0,1,Train
1305,0,1,Train
70239,1,1,Train
46913,1,1,Train
59304,1,1,Train
49015,1,1,Train
53378,1,1,Train
23458,0,1,Train
9517,0,1,Train
37514,0,1,Train
63418,1,1,Train
78774,1,1,Train
54680,1,1,Train
18112,0,1,Train
35721,0,1,Train
32555,0,1,Train
38697,0,1,Train
50569,1,1,Train
45392,1,1,Train
72621,1,1,Train
1414,0,1,Train
45576,1,1,Train
11633,0,1,Train
67587,1,1,Train
13367,0,1,Train
53029,1,1,Train
38266,0,1,Train
72242,1,1,Train
73037,1,1,Train
76342,1,1,Train
51430,1,1,Train
43551,1,1,Train
16851,0,1,Train
61283,1,1,Train
36982,0,1,Train
46042,1,1,Train
19402,0,1,Train
42421,1,1,Train
37020,0,1,Train
66566,1,1,Train
56775,1,1,Train
18963,0,1,Train
5790,0,1,Train
23366,0,1,Train
52707,1,1,Train
43215,1,1,Train
5894,0,1,Train
27545,0,1,Train
32509,0,1,Train
22041,0,1,Train
80684,1,1,Train
71359,1,1,Train
14518,0,1,Train
33075,0,1,Train
13202,0,1,Train
69602,1,1,Train
71503,1,1,Train
45726,1,1,Train
65410,1,1,Train
78379,1,1,Train
29468,0,1,Train
17760,0,1,Train
20097,0,1,Train
5317,0,1,Train
9750,0,1,Train
17575,0,1,Train
71034,1,1,Train
68819,1,1,Train
55183,1,1,Train
57297,1,1,Train
19994,0,1,Train
953,0,1,Train
53435,1,1,Train
66827,1,1,Train
51951,1,1,Train
47795,1,1,Train
57908,1,1,Train
38595,0,1,Train
50033,1,1,Train
61591,1,1,Train
30181,0,1,Train
65120,1,1,Train
38075,0,1,Train
38824,0,1,Train
2863,0,1,Train
66875,1,1,Train
59079,1,1,Train
13818,0,1,Train
40112,0,1,Train
8607,0,1,Train
68260,1,1,Train
50842,1,1,Train
8994,0,1,Train
37511,0,1,Train
72074,1,1,Train
35387,0,1,Train
78250,1,1,Train
49133,1,1,Train
15587,0,1,Train
48173,1,1,Train
18093,0,1,Train
42319,1,1,Train
8148,0,1,Train
61226,1,1,Train
58357,1,1,Train
59367,1,1,Train
47364,1,1,Train
26139,0,1,Train
57159,1,1,Train
43569,1,1,Train
10344,0,1,Train
11639,0,1,Train
16412,0,1,Train
67031,1,1,Train
55487,1,1,Train
33247,0,1,Train
5007,0,1,Train
46748,1,1,Train
74690,1,1,Train
46341,1,1,Train
69600,1,1,Train
25018,0,1,Train
76571,1,1,Train
69478,1,1,Train
25624,0,1,Train
54742,1,1,Train
55971,1,1,Train
42365,1,1,Train
50274,1,1,Train
56161,1,1,Train
30357,0,1,Train
1791,0,1,Train
7891,0,1,Train
78132,1,1,Train
58363,1,1,Train
13245,0,1,Train
42102,1,1,Train
31713,0,1,Train
78450,1,1,Train
77756,1,1,Train
11919,0,1,Train
27458,0,1,Train
41739,1,1,Train
45443,1,1,Train
33702,0,1,Train
60248,1,1,Train
45268,1,1,Train
11949,0,1,Train
58370,1,1,Train
63031,1,1,Train
53160,1,1,Train
72408,1,1,Train
78990,1,1,Train
71228,1,1,Train
23320,0,1,Train
41503,1,1,Train
45792,1,1,Train
42303,1,1,Train
27710,0,1,Train
17005,0,1,Train
24735,0,1,Train
13768,0,1,Train
60950,1,1,Train
36620,0,1,Train
62561,1,1,Train
30142,0,1,Train
16407,0,1,Train
29886,0,1,Train
57825,1,1,Train
5218,0,1,Train
28246,0,1,Train
34849,0,1,Train
5672,0,1,Train
65179,1,1,Train
47677,1,1,Train
23069,0,1,Train
76744,1,1,Train
61445,1,1,Train
14448,0,1,Train
56876,1,1,Train
44773,1,1,Train
73525,1,1,Train
51598,1,1,Train
1257,0,1,Train
14829,0,1,Train
36779,0,1,Train
29823,0,1,Train
37578,0,1,Train
16962,0,1,Train
80280,1,1,Train
61214,1,1,Train
22529,0,1,Train
2518,0,1,Train
42062,1,1,Train
72438,1,1,Train
53646,1,1,Train
59786,1,1,Train
10611,0,1,Train
77420,1,1,Train
56364,1,1,Train
43429,1,1,Train
76203,1,1,Train
13375,0,1,Train
51987,1,1,Train
39259,0,1,Train
56983,1,1,Train
1256,0,1,Train
30738,0,1,Train
64693,1,1,Train
49715,1,1,Train
62992,1,1,Train
4028,0,1,Train
45556,1,1,Train
77177,1,1,Train
61605,1,1,Train
40370,0,1,Train
34097,0,1,Train
76359,1,1,Train
31808,0,1,Train
2927,0,1,Train
326,0,1,Train
21948,0,1,Train
32188,0,1,Train
15541,0,1,Train
50887,1,1,Train
61345,1,1,Train
47569,1,1,Train
28609,0,1,Train
48775,1,1,Train
21733,0,1,Train
365,0,1,Train
34431,0,1,Train
10132,0,1,Train
24864,0,1,Train
44190,1,1,Train
28785,0,1,Train
60108,1,1,Train
32484,0,1,Train
28271,0,1,Train
45549,1,1,Train
66224,1,1,Train
2508,0,1,Train
3795,0,1,Train
79724,1,1,Train
21860,0,1,Train
65118,1,1,Train
32190,0,1,Train
38637,0,1,Train
22527,0,1,Train
63381,1,1,Train
39623,0,1,Train
9712,0,1,Train
50531,1,1,Train
73435,1,1,Train
42650,1,1,Train
16669,0,1,Train
26701,0,1,Train
54217,1,1,Train
47640,1,1,Train
53,0,1,Train
57092,1,1,Train
79636,1,1,Train
74641,1,1,Train
76488,1,1,Train
34251,0,1,Train
56951,1,1,Train
24228,0,1,Train
57431,1,1,Train
11505,0,1,Train
29606,0,1,Train
30277,0,1,Train
44450,1,1,Train
13250,0,1,Train
6513,0,1,Train
30309,0,1,Train
64100,1,1,Train
53354,1,1,Train
54022,1,1,Train
28320,0,1,Train
46290,1,1,Train
41463,1,1,Train
44689,1,1,Train
76858,1,1,Train
44077,1,1,Train
19821,0,1,Train
68831,1,1,Train
32946,0,1,Train
25810,0,1,Train
76764,1,1,Train
56927,1,1,Train
63524,1,1,Train
56626,1,1,Train
911,0,1,Train
49194,1,1,Train
59890,1,1,Train
37920,0,1,Train
75005,1,1,Train
46911,1,1,Train
13864,0,1,Train
73731,1,1,Train
48118,1,1,Train
58396,1,1,Train
20585,0,1,Train
2574,0,1,Train
35125,1,1,Train
7912,0,1,Train
74758,1,1,Train
13636,0,1,Train
59281,1,1,Train
42806,1,1,Train
34886,0,1,Train
18739,0,1,Train
43520,1,1,Train
23405,0,1,Train
57262,1,1,Train
56239,1,1,Train
69179,1,1,Train
35659,0,1,Train
36830,0,1,Train
3536,0,1,Train
42435,1,1,Train
7259,0,1,Train
22583,0,1,Train
46829,1,1,Train
6310,0,1,Train
65754,1,1,Train
35073,0,1,Train
72065,1,1,Train
73002,1,1,Train
20356,0,1,Train
31409,0,1,Train
45432,1,1,Train
51439,1,1,Train
39076,0,1,Train
542,0,1,Train
65960,1,1,Train
56198,1,1,Train
36891,0,1,Train
72305,1,1,Train
3401,0,1,Train
62065,1,1,Train
79144,1,1,Train
3170,0,1,Train
33261,0,1,Train
32388,0,1,Train
548,0,1,Train
6390,0,1,Train
69160,1,1,Train
44113,1,1,Train
70373,1,1,Train
4945,0,1,Train
23264,0,1,Train
24221,0,1,Train
79417,1,1,Train
5835,0,1,Train
43864,1,1,Train
52650,1,1,Train
47425,1,1,Train
54164,1,1,Train
28643,0,1,Train
36968,0,1,Train
41069,1,1,Train
67212,1,1,Train
13323,0,1,Train
33772,0,1,Train
72795,1,1,Train
78156,1,1,Train
2152,0,1,Train
52218,1,1,Train
3813,0,1,Train
47410,1,1,Train
25137,0,1,Train
52464,1,1,Train
71172,1,1,Train
43852,1,1,Train
18314,0,1,Train
45599,1,1,Train
34221,0,1,Train
76542,1,1,Train
70781,1,1,Train
12826,0,1,Train
12562,0,1,Train
20941,0,1,Train
33534,0,1,Train
54041,1,1,Train
20254,0,1,Train
5662,0,1,Train
37627,0,1,Train
10434,0,1,Train
63463,1,1,Train
64227,1,1,Train
29490,0,1,Train
17203,0,1,Train
46709,1,1,Train
49308,1,1,Train
60440,1,1,Train
77397,1,1,Train
29635,0,1,Train
56832,1,1,Train
34066,0,1,Train
45889,1,1,Train
5281,0,1,Train
32320,0,1,Train
30876,0,1,Train
11700,0,1,Train
56021,1,1,Train
60165,1,1,Train
36570,0,1,Train
50397,1,1,Train
72200,1,1,Train
25026,0,1,Train
73146,1,1,Train
36287,0,1,Train
34071,0,1,Train
48609,1,1,Train
67788,1,1,Train
29599,0,1,Train
62742,1,1,Train
45880,1,1,Train
48445,1,1,Train
66959,1,1,Train
61393,1,1,Train
20425,0,1,Train
11019,0,1,Train
62332,1,1,Train
20680,0,1,Train
79293,1,1,Train
690,0,1,Train
42957,1,1,Train
28081,0,1,Train
22374,0,1,Train
19655,0,1,Train
33120,0,1,Train
50046,1,1,Train
68091,1,1,Train
4678,0,1,Train
15207,0,1,Train
56962,1,1,Train
35227,0,1,Train
57575,1,1,Train
31025,0,1,Train
29861,0,1,Train
58553,1,1,Train
70498,1,1,Train
4884,0,1,Train
78142,1,1,Train
28161,0,1,Train
29085,0,1,Train
31205,0,1,Train
182,0,1,Train
53068,1,1,Train
28347,0,1,Train
18555,0,1,Train
72360,1,1,Train
62589,1,1,Train
62957,1,1,Train
34884,0,1,Train
62343,1,1,Train
62082,1,1,Train
10214,0,1,Train
45016,1,1,Train
68721,1,1,Train
59369,1,1,Train
52666,1,1,Train
67033,1,1,Train
17385,0,1,Train
23415,0,1,Train
9647,0,1,Train
34580,0,1,Train
28027,0,1,Train
34491,0,1,Train
55726,1,1,Train
11836,0,1,Train
18880,0,1,Train
59288,1,1,Train
77837,1,1,Train
9706,0,1,Train
57088,1,1,Train
31534,0,1,Train
1741,0,1,Train
66409,1,1,Train
12476,0,1,Train
78798,1,1,Train
36517,0,1,Train
27356,0,1,Train
28332,0,1,Train
79138,1,1,Train
58907,1,1,Train
4680,0,1,Train
12007,0,1,Train
59438,1,1,Train
15854,0,1,Train
76410,1,1,Train
10777,0,1,Train
75421,1,1,Train
8780,0,1,Train
61025,1,1,Train
78374,1,1,Train
65826,1,1,Train
77263,1,1,Train
10380,0,1,Train
14355,0,1,Train
21175,0,1,Train
12048,0,1,Train
23789,0,1,Train
32045,0,1,Train
50920,1,1,Train
7059,0,1,Train
38018,0,1,Train
57249,1,1,Train
16716,0,1,Train
72922,1,1,Train
76101,1,1,Train
38690,0,1,Train
5517,0,1,Train
64819,1,1,Train
33042,0,1,Train
19809,0,1,Train
44371,1,1,Train
1859,0,1,Train
10972,0,1,Train
16778,0,1,Train
75461,1,1,Train
19428,0,1,Train
72626,1,1,Train
63453,1,1,Train
57686,1,1,Train
17479,0,1,Train
63787,1,1,Train
3617,0,1,Train
72809,1,1,Train
79498,1,1,Train
63470,1,1,Train
17403,0,1,Train
41194,1,1,Train
39813,0,1,Train
78135,1,1,Train
35476,0,1,Train
17617,0,1,Train
28126,0,1,Train
75395,1,1,Train
58922,1,1,Train
44720,1,1,Train
65319,1,1,Train
21176,0,1,Train
51260,1,1,Train
37002,0,1,Train
61542,1,1,Train
18820,0,1,Train
73722,1,1,Train
19025,0,1,Train
55440,1,1,Train
11327,0,1,Train
9699,0,1,Train
14361,0,1,Train
67857,1,1,Train
35366,0,1,Train
50686,1,1,Train
37922,0,1,Train
60606,1,1,Train
20429,0,1,Train
26500,0,1,Train
24371,0,1,Train
55937,1,1,Train
18758,0,1,Train
39926,0,1,Train
71534,1,1,Train
7932,0,1,Train
74420,1,1,Train
50130,1,1,Train
51724,1,1,Train
17210,0,1,Train
40406,1,1,Train
40571,0,1,Train
10166,0,1,Train
64864,1,1,Train
29007,0,1,Train
78534,1,1,Train
31867,0,1,Train
72145,1,1,Train
68474,1,1,Train
13702,0,1,Train
51018,1,1,Train
48412,1,1,Train
22824,0,1,Train
14755,0,1,Train
24456,1,1,Train
33195,0,1,Train
7007,0,1,Train
79598,1,1,Train
42571,1,1,Train
60253,1,1,Train
6134,0,1,Train
38987,1,1,Train
57593,1,1,Train
42116,1,1,Train
26746,0,1,Train
48498,1,1,Train
27017,0,1,Train
6701,0,1,Train
59148,1,1,Train
49700,1,1,Train
66145,1,1,Train
35648,0,1,Train
76678,1,1,Train
68547,1,1,Train
33347,0,1,Train
60605,1,1,Train
55323,1,1,Train
4374,0,1,Train
57122,1,1,Train
11040,0,1,Train
75323,1,1,Train
40925,0,1,Train
40552,0,1,Train
44841,1,1,Train
56460,1,1,Train
34714,0,1,Train
74729,1,1,Train
66693,1,1,Train
34992,0,1,Train
64350,1,1,Train
6515,0,1,Train
37913,0,1,Train
7010,0,1,Train
27101,0,1,Train
5763,0,1,Train
6213,0,1,Train
19384,0,1,Train
2515,0,1,Train
43859,1,1,Train
39936,0,1,Train
80733,1,1,Train
45770,1,1,Train
32485,0,1,Train
72522,1,1,Train
53729,1,1,Train
76506,1,1,Train
7318,0,1,Train
9396,0,1,Train
31059,0,1,Train
11538,0,1,Train
6650,0,1,Train
5598,0,1,Train
19212,0,1,Train
53834,1,1,Train
62816,1,1,Train
3863,0,1,Train
4754,0,1,Train
60965,1,1,Train
12439,0,1,Train
12900,0,1,Train
64232,1,1,Train
23112,0,1,Train
1298,0,1,Train
63758,1,1,Train
14009,0,1,Train
56725,1,1,Train
35124,0,1,Train
56449,1,1,Train
76351,1,1,Train
74317,1,1,Train
3928,0,1,Train
19921,0,1,Train
32504,0,1,Train
25142,0,1,Train
31878,0,1,Train
80290,1,1,Train
68674,1,1,Train
57117,1,1,Train
3930,1,1,Train
13588,0,1,Train
61837,1,1,Train
13041,0,1,Train
31961,0,1,Train
31963,0,1,Train
62582,1,1,Train
